dim, run, mean, time
2, 1, 8.063282, 39.029799
2, 1, 13.906446, 39.391467
2, 1, 21.337310, 41.116615
3, 1, 11.282675, 40.082134
3, 1, 18.686539, 40.555925
3, 1, 27.566305, 40.078885
5, 1, 16.624760, 41.080257
5, 1, 26.137357, 41.334263
5, 1, 36.758025, 41.061654
10, 1, 26.208085, 44.748067
10, 1, 38.270650, 44.462399
10, 1, 50.834232, 44.678452
20, 1, 37.699309, 53.970421
20, 1, 51.581330, 54.857032
20, 1, 65.521502, 53.822893
30, 1, 44.804954, 61.467554
30, 1, 59.508177, 61.298383
30, 1, 74.219015, 61.073685
50, 1, 53.903793, 78.006072
50, 1, 69.566456, 77.843592
50, 1, 85.274865, 78.118784
100, 1, 66.346838, 129.298215
100, 1, 83.380417, 129.584761
100, 1, 100.428268, 128.871690
200, 1, 78.995972, 232.048213
200, 1, 97.408840, 232.089608
200, 1, 115.819270, 231.672925
500, 1, 95.980566, 693.799313
500, 1, 116.278115, 693.111580
500, 1, 136.557144, 693.544982
