L, N, delta, type, run, mean, time
10, 5, 0.000000, A, 0, 5.189486, 24.569392
10, 5, 0.000000, A, 1, 5.188237, 11.850851
10, 5, 0.000000, A, 2, 5.182763, 11.850807
10, 5, 0.000000, A, 3, 5.189131, 11.789823
10, 5, 0.000000, A, 4, 5.191852, 11.900606
10, 5, 0.000000, A, 5, 5.187035, 12.100609
10, 5, 0.000000, A, 6, 5.191809, 11.847242
10, 5, 0.000000, A, 7, 5.189745, 12.115111
10, 5, 0.000000, A, 8, 5.170827, 12.255010
10, 5, 0.000000, A, 9, 5.180781, 12.190427
10, 5, 0.100000, A, 0, 8.971579, 11.827531
10, 5, 0.100000, A, 1, 8.984957, 11.787773
10, 5, 0.100000, A, 2, 8.975929, 11.842669
10, 5, 0.100000, A, 3, 8.964996, 12.284758
10, 5, 0.100000, A, 4, 8.976831, 11.866373
10, 5, 0.100000, A, 5, 8.969330, 11.918958
10, 5, 0.100000, A, 6, 8.976483, 11.857790
10, 5, 0.100000, A, 7, 8.972935, 11.975586
10, 5, 0.100000, A, 8, 8.959837, 11.991801
10, 5, 0.100000, A, 9, 8.981584, 11.834091
10, 10, 0.000000, A, 0, 5.225985, 21.189695
10, 10, 0.000000, A, 1, 5.223417, 21.369236
10, 10, 0.000000, A, 2, 5.236014, 21.254287
10, 10, 0.000000, A, 3, 5.225270, 21.241310
10, 10, 0.000000, A, 4, 5.234199, 21.354456
10, 10, 0.000000, A, 5, 5.224000, 21.157644
10, 10, 0.000000, A, 6, 5.234634, 21.291075
10, 10, 0.000000, A, 7, 5.226826, 21.097664
10, 10, 0.000000, A, 8, 5.213385, 21.692614
10, 10, 0.000000, A, 9, 5.233149, 21.184706
10, 10, 0.000000, E, 0, 4.342310, 19.457297
10, 10, 0.000000, E, 1, 4.343012, 19.343397
10, 10, 0.000000, E, 2, 4.343525, 19.367999
10, 10, 0.000000, E, 3, 4.343129, 19.280623
10, 10, 0.000000, E, 4, 4.343060, 19.404872
10, 10, 0.000000, E, 5, 4.343330, 19.287339
10, 10, 0.000000, E, 6, 4.343462, 19.340425
10, 10, 0.000000, E, 7, 4.342683, 19.359214
10, 10, 0.000000, E, 8, 4.343318, 19.286889
10, 10, 0.000000, E, 9, 4.343056, 19.406034
10, 10, 0.100000, A, 0, 9.052793, 21.369670
10, 10, 0.100000, A, 1, 9.049120, 21.263047
10, 10, 0.100000, A, 2, 9.036562, 21.280138
10, 10, 0.100000, A, 3, 9.059599, 21.165248
10, 10, 0.100000, A, 4, 9.059475, 21.701875
